1405-05-05 11:32:21.328 Log saving enabled by user.
1405-05-05 11:35:12.276 Delimiter vk=32 layout=fa word='داخل' -> 'داخل'
1405-05-05 11:35:16.372 Delimiter vk=32 layout=fa word='کارتابل' -> 'کارتابل'
1405-05-05 11:35:17.372 Delimiter vk=32 layout=fa word='باید' -> 'باید'
1405-05-05 11:35:18.252 Delimiter vk=32 layout=fa word='باشد' -> 'باشد'
1405-05-05 11:35:18.756 Delimiter vk=32 layout=fa word='تا' -> 'تا'
1405-05-05 11:35:20.404 Delimiter vk=32 layout=fa word='بتوانند' -> 'بتوانند'
1405-05-05 11:35:21.116 Delimiter vk=32 layout=fa word='این' -> 'این'
1405-05-05 11:35:21.716 Delimiter vk=32 layout=fa word='دو' -> 'دو'
1405-05-05 11:35:23.612 Delimiter vk=32 layout=fa word='نفر' -> 'نفر'
1405-05-05 11:35:24.628 Delimiter vk=32 layout=fa word='این' -> 'این'
1405-05-05 11:35:25.988 Delimiter vk=32 layout=fa word='مشتریان' -> 'مشتریان'
1405-05-05 11:35:26.379 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 11:35:28.028 Delimiter vk=32 layout=fa word='پیگیری' -> 'پیگیری'
1405-05-05 11:50:06.413 Delimiter vk=13 layout=fa word='نمایندc' -> 'نمایندc'
1405-05-05 11:50:18.340 Delimiter vk=13 layout=fa word='معیری' -> 'معیری'
1405-05-05 11:50:36.140 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:19:16.925 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:19:17.861 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:19:18.589 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:19:19.829 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:19:57.669 Delimiter vk=13 layout=fa word='زش' -> 'زش'
1405-05-05 12:20:00.741 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:20:05.398 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:20:22.358 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:12.741 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:15.173 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:16.301 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:32.237 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:53.461 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:21:57.061 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:38:40.206 Delimiter vk=13 layout=fa word='زش' -> 'زش'
1405-05-05 12:38:42.590 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 12:38:54.038 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 13:51:21.218 Delimiter vk=32 layout=fa word='سئوی' -> 'سئوی'
1405-05-05 13:51:22.777 Delimiter vk=32 layout=fa word='اون' -> 'اون'
1405-05-05 13:51:24.217 Delimiter vk=32 layout=fa word='لینک' -> 'لینک'
1405-05-05 13:51:25.121 Delimiter vk=32 layout=fa word='هایی' -> 'هایی'
1405-05-05 13:51:25.513 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 13:51:26.305 Delimiter vk=32 layout=fa word='که' -> 'که'
1405-05-05 13:51:28.065 Delimiter vk=32 layout=fa word='فرستادم' -> 'فرستادم'
1405-05-05 13:51:29.185 Delimiter vk=32 layout=fa word='بررسی' -> 'بررسی'
1405-05-05 13:51:29.785 Delimiter vk=32 layout=fa word='کن' -> 'کن'
1405-05-05 13:51:30.161 Delimiter vk=32 layout=fa word='و' -> 'و'
1405-05-05 13:51:31.097 Delimiter vk=32 layout=fa word='بگو' -> 'بگو'
1405-05-05 13:51:31.873 Delimiter vk=32 layout=fa word='برای' -> 'برای'
1405-05-05 13:51:32.417 Delimiter vk=32 layout=fa word='هر' -> 'هر'
1405-05-05 13:51:33.929 Delimiter vk=32 layout=fa word='کدام' -> 'کدام'
1405-05-05 13:51:34.801 Delimiter vk=32 layout=fa word='چه' -> 'چه'
1405-05-05 13:51:35.809 Delimiter vk=32 layout=fa word='موارد' -> 'موارد'
1405-05-05 13:51:37.169 Delimiter vk=32 layout=fa word='ی' -> 'ی'
1405-05-05 13:51:41.585 Delimiter vk=32 layout=fa word='اصلاح' -> 'اصلاح'
1405-05-05 13:51:43.057 Delimiter vk=13 layout=fa word='شوند' -> 'شوند'
1405-05-05 13:52:04.987 Delimiter vk=13 layout=en word='re' -> 're'
1405-05-05 13:52:06.617 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 14:20:09.835 Delimiter vk=13 layout=en word='re' -> 're'
1405-05-05 14:20:10.730 Delimiter vk=13 layout=en word='' -> ''
1405-05-05 14:29:34.827 Delimiter vk=32 layout=fa word='ایزابل' -> 'ایزابل'
1405-05-05 14:29:37.539 Delimiter vk=32 layout=fa word='یوزر' -> 'یوزر'
1405-05-05 14:29:38.539 Delimiter vk=32 layout=fa word='پس' -> 'پس'
1405-05-05 14:29:43.378 Delimiter vk=32 layout=fa word='پیشفرضش' -> 'پیشفرضش'
1405-05-05 14:29:45.203 Delimiter vk=32 layout=fa word='برای' -> 'برای'
1405-05-05 14:29:46.819 Delimiter vk=32 layout=fa word='ورود' -> 'ورود'
1405-05-05 14:29:47.331 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 14:29:48.475 Delimiter vk=32 layout=fa word='بخش' -> 'بخش'
1405-05-05 14:29:50.643 Delimiter vk=32 layout=fa word='کنسول' -> 'کنسول'
1405-05-05 14:29:51.890 Delimiter vk=13 layout=fa word='چیه' -> 'چیه'
